Query	Hit	Score
LFJGGGKL_00046	MER0019096	48.5
LFJGGGKL_00060	MER0004925	310.0
LFJGGGKL_00064	MER0001243	192.0
LFJGGGKL_00087	MER0005244	114.0
LFJGGGKL_00105	MER0000471	121.0
LFJGGGKL_00152	MER0033259	85.9
LFJGGGKL_00167	MER0013425	87.0
LFJGGGKL_00171	MER0002031	80.1
LFJGGGKL_00177	MER0001269	160.0
LFJGGGKL_00180	MER0187003	47.0
LFJGGGKL_00182	MER0006204	70.1
LFJGGGKL_00201	MER0003105	202.0
LFJGGGKL_00224	MER0034539	243.0
LFJGGGKL_00230	MER0492485	58.2
LFJGGGKL_00238	MER0047723	409.0
LFJGGGKL_00265	MER0056022	41.2
LFJGGGKL_00283	MER0001313	45.1
LFJGGGKL_00311	MER0056525	256.0
LFJGGGKL_00320	MER0000410	393.0
LFJGGGKL_00335	MER0195376	83.6
LFJGGGKL_00336	MER0195376	85.9
LFJGGGKL_00349	MER0001421	369.0
LFJGGGKL_00354	MER0281397	60.1
LFJGGGKL_00360	MER0004236	46.2
LFJGGGKL_00377	MER0015475	69.3
LFJGGGKL_00406	MER0004953	103.0
LFJGGGKL_00419	MER0031618	87.0
LFJGGGKL_00467	MER0011369	47.4
LFJGGGKL_00501	MER0001158	745.0
LFJGGGKL_00692	MER0213595	46.6
LFJGGGKL_00694	MER0026262	85.5
LFJGGGKL_00720	MER1143079	107.0
LFJGGGKL_00724	MER0005694	187.0
LFJGGGKL_00727	MER0005694	170.0
LFJGGGKL_00744	MER0195774	57.8
LFJGGGKL_00747	MER0217397	463.0
LFJGGGKL_00766	MER0030934	131.0
LFJGGGKL_00778	MER0000474	218.0
LFJGGGKL_00788	MER0001289	73.6
LFJGGGKL_00790	MER0000410	369.0
LFJGGGKL_00794	MER0069741	105.0
LFJGGGKL_00820	MER0003336	299.0
LFJGGGKL_00828	MER0001423	478.0
LFJGGGKL_00851	MER0002489	103.0
LFJGGGKL_00870	MER0004775	476.0
LFJGGGKL_00873	MER0004775	493.0
LFJGGGKL_00874	MER0045479	82.4
LFJGGGKL_00875	MER0001289	58.2
LFJGGGKL_00909	MER0039456	57.0
LFJGGGKL_00910	MER0195774	129.0
LFJGGGKL_00919	MER0492485	92.4
LFJGGGKL_00942	MER0002959	94.4
LFJGGGKL_00943	MER0065588	159.0
LFJGGGKL_00956	MER0002489	131.0
LFJGGGKL_00972	MER0223899	42.0
LFJGGGKL_00980	MER0018254	106.0
LFJGGGKL_00983	MER0001978	472.0
LFJGGGKL_01002	MER0001284	70.9
LFJGGGKL_01043	MER0000589	59.3
LFJGGGKL_01045	MER0000310	113.0
LFJGGGKL_01054	MER1143079	113.0
LFJGGGKL_01079	MER0019881	85.1
LFJGGGKL_01093	MER0026262	145.0
LFJGGGKL_01187	MER0066178	52.4
LFJGGGKL_01188	MER0013450	212.0
LFJGGGKL_01212	MER1143079	109.0
