Query	Hit	Score
FOEJHFNL_00030	MER0029657	69.3
FOEJHFNL_00038	MER0026262	100.0
FOEJHFNL_00086	MER0004146	77.0
FOEJHFNL_00093	MER0014188	65.9
FOEJHFNL_00146	MER0033186	192.0
FOEJHFNL_00160	MER0003380	65.5
FOEJHFNL_00194	MER0006093	46.2
FOEJHFNL_00237	MER0033220	126.0
FOEJHFNL_00272	MER0019759	62.4
FOEJHFNL_00277	MER0022935	66.2
FOEJHFNL_00278	MER0014135	243.0
FOEJHFNL_00279	MER0492485	91.7
FOEJHFNL_00280	MER0437468	237.0
FOEJHFNL_00403	MER0001299	266.0
FOEJHFNL_00433	MER0035041	54.3
FOEJHFNL_00485	MER0001161	470.0
FOEJHFNL_00491	MER0281397	94.7
FOEJHFNL_00538	MER0065588	124.0
FOEJHFNL_00540	MER0034539	105.0
FOEJHFNL_00614	MER0025512	78.6
FOEJHFNL_00666	MER0002489	112.0
FOEJHFNL_00668	MER0002746	95.1
FOEJHFNL_00743	MER0031610	139.0
FOEJHFNL_00767	MER0034582	83.2
FOEJHFNL_00804	MER0003105	206.0
FOEJHFNL_00855	MER0034615	297.0
FOEJHFNL_00869	MER0095620	286.0
FOEJHFNL_00914	MER0024096	73.6
FOEJHFNL_00927	MER0033237	61.6
FOEJHFNL_00976	MER0004199	45.4
FOEJHFNL_01059	MER0033259	71.6
FOEJHFNL_01088	MER0492485	43.9
FOEJHFNL_01091	MER0192051	55.1
FOEJHFNL_01107	MER0492485	45.8
FOEJHFNL_01123	MER0015473	65.5
FOEJHFNL_01145	MER0002251	196.0
FOEJHFNL_01146	MER0000471	120.0
FOEJHFNL_01149	MER0073084	109.0
FOEJHFNL_01152	MER0168983	67.4
FOEJHFNL_01184	MER0017622	74.3
FOEJHFNL_01185	MER0005768	129.0
FOEJHFNL_01194	MER0001236	225.0
FOEJHFNL_01195	MER0066178	45.8
FOEJHFNL_01232	MER0050859	243.0
FOEJHFNL_01240	MER0026494	262.0
FOEJHFNL_01278	MER0012073	51.6
FOEJHFNL_01291	MER0034659	65.1
FOEJHFNL_01417	MER0011806	159.0
FOEJHFNL_01432	MER0026339	348.0
FOEJHFNL_01437	MER0001289	82.4
FOEJHFNL_01438	MER0001289	94.4
FOEJHFNL_01444	MER0002443	105.0
FOEJHFNL_01502	MER0005139	72.8
FOEJHFNL_01527	MER0004925	318.0
FOEJHFNL_01539	MER0001243	184.0
FOEJHFNL_01568	MER0195774	80.9
FOEJHFNL_01579	MER0005244	92.4
FOEJHFNL_01580	MER0005244	122.0
FOEJHFNL_01592	MER0005169	172.0
FOEJHFNL_01623	MER0005768	113.0
FOEJHFNL_01624	MER0005768	52.0
FOEJHFNL_01685	MER0031563	64.3
FOEJHFNL_01689	MER0031562	66.6
FOEJHFNL_01755	MER0002036	88.6
FOEJHFNL_01774	MER0060647	264.0
FOEJHFNL_01803	MER0001699	96.7
FOEJHFNL_01816	MER0045886	197.0
FOEJHFNL_01881	MER0001978	473.0
FOEJHFNL_01897	MER0045094	158.0
FOEJHFNL_01929	MER0019759	87.8
FOEJHFNL_01930	MER0000471	135.0
FOEJHFNL_01935	MER0003336	274.0
FOEJHFNL_01945	MER0037236	71.2
FOEJHFNL_01967	MER0056047	62.8
FOEJHFNL_01983	MER0015424	631.0
FOEJHFNL_02012	MER0031570	61.6
FOEJHFNL_02032	MER0002601	129.0
FOEJHFNL_02033	MER0000474	216.0
FOEJHFNL_02049	MER0492485	54.7
FOEJHFNL_02076	MER1143079	147.0
FOEJHFNL_02077	MER0026262	107.0
FOEJHFNL_02118	MER0061102	120.0
FOEJHFNL_02155	MER0195376	64.7
FOEJHFNL_02188	MER0004775	489.0
FOEJHFNL_02189	MER0004775	496.0
FOEJHFNL_02220	MER0002565	115.0
FOEJHFNL_02222	MER0000589	58.5
FOEJHFNL_02277	MER0039993	451.0
FOEJHFNL_02278	MER0195774	76.3
FOEJHFNL_02333	MER0031431	91.7
FOEJHFNL_02348	MER0045479	73.6
FOEJHFNL_02351	MER0033237	58.9
FOEJHFNL_02353	MER0029616	55.5
FOEJHFNL_02355	MER0195774	140.0
FOEJHFNL_02356	MER0237414	57.0
FOEJHFNL_02363	MER0047723	414.0
FOEJHFNL_02371	MER0492485	51.6
FOEJHFNL_02376	MER0034539	237.0
FOEJHFNL_02406	MER0001269	160.0
FOEJHFNL_02431	MER0012158	185.0
FOEJHFNL_02449	MER0001423	423.0
FOEJHFNL_02471	MER0069741	104.0
FOEJHFNL_02524	MER0013450	198.0
FOEJHFNL_02581	MER0026262	129.0
FOEJHFNL_02607	MER0001158	713.0
FOEJHFNL_02613	MER0005196	328.0
FOEJHFNL_02614	MER0492485	107.0
FOEJHFNL_02617	MER0000315	80.1
FOEJHFNL_02643	MER0005694	172.0
FOEJHFNL_02649	MER0002031	77.8
FOEJHFNL_02700	MER0025086	117.0
FOEJHFNL_02701	MER0019096	52.4
FOEJHFNL_02704	MER0000310	150.0
FOEJHFNL_02715	MER0005767	128.0
FOEJHFNL_02719	MER0015415	43.9
FOEJHFNL_02750	MER0044357	59.7
FOEJHFNL_02773	MER0034960	55.1
FOEJHFNL_02774	MER0000459	70.9
FOEJHFNL_02856	MER0003242	59.3
FOEJHFNL_02857	MER0003850	175.0
FOEJHFNL_02890	MER0015424	217.0
FOEJHFNL_02915	MER0034539	119.0
FOEJHFNL_02976	MER0004514	48.9
FOEJHFNL_02982	MER0056525	248.0
FOEJHFNL_02991	MER0000410	383.0
FOEJHFNL_03014	MER0281397	56.6
FOEJHFNL_03017	MER0004954	100.0
FOEJHFNL_03032	MER0036308	58.9
FOEJHFNL_03036	MER0002443	107.0
FOEJHFNL_03101	MER0015475	60.8
FOEJHFNL_03104	MER0039993	451.0
FOEJHFNL_03106	MER0026213	46.6
FOEJHFNL_03107	MER0001025	164.0
FOEJHFNL_03121	MER0001421	388.0
FOEJHFNL_03124	MER0015424	132.0
FOEJHFNL_03194	MER0001295	165.0
FOEJHFNL_03216	MER0016191	114.0
FOEJHFNL_03270	MER0015472	61.6
FOEJHFNL_03292	MER0037236	71.2
FOEJHFNL_03354	MER0897124	79.7
FOEJHFNL_03396	MER0037853	39.7
FOEJHFNL_03397	MER0026339	58.2
FOEJHFNL_03415	MER0026545	109.0
FOEJHFNL_03428	MER0015621	281.0
FOEJHFNL_03432	MER0000485	216.0
FOEJHFNL_03474	MER1143079	105.0
FOEJHFNL_03491	MER0001313	48.5
FOEJHFNL_03496	MER0069741	65.5
