Query	Hit	Score
IDGNBMEL_00034	MER0029719	230.0
IDGNBMEL_00037	MER0281397	65.9
IDGNBMEL_00052	MER0004893	91.7
IDGNBMEL_00078	MER0001009	97.1
IDGNBMEL_00079	MER0004469	55.8
IDGNBMEL_00080	MER0004468	63.9
IDGNBMEL_00089	MER0004775	511.0
IDGNBMEL_00091	MER0038832	103.0
IDGNBMEL_00099	MER0016191	133.0
IDGNBMEL_00153	MER0033254	88.6
IDGNBMEL_00174	MER0005300	83.6
IDGNBMEL_00189	MER0192051	62.4
IDGNBMEL_00206	MER0001425	129.0
IDGNBMEL_00209	MER0002755	59.3
IDGNBMEL_00210	MER0002565	126.0
IDGNBMEL_00265	MER0003338	163.0
IDGNBMEL_00267	MER0034541	130.0
IDGNBMEL_00268	MER0034541	152.0
IDGNBMEL_00289	MER0011806	54.7
IDGNBMEL_00297	MER0031565	79.0
IDGNBMEL_00318	MER0000392	307.0
IDGNBMEL_00323	MER0059846	138.0
IDGNBMEL_00338	MER0015424	104.0
IDGNBMEL_00339	MER0005300	55.8
IDGNBMEL_00356	MER0001425	129.0
IDGNBMEL_00378	MER0001400	187.0
IDGNBMEL_00417	MER0003376	50.1
IDGNBMEL_00425	MER0003338	175.0
IDGNBMEL_00426	MER0005768	155.0
IDGNBMEL_00511	MER0217243	67.4
IDGNBMEL_00603	MER0002646	166.0
IDGNBMEL_00610	MER0047723	427.0
IDGNBMEL_00623	MER0015473	48.5
IDGNBMEL_00624	MER0048181	52.0
IDGNBMEL_00698	MER0195376	87.8
IDGNBMEL_00758	MER0000436	80.9
IDGNBMEL_00761	MER0004111	44.3
IDGNBMEL_00772	MER0001322	72.0
IDGNBMEL_00794	MER0035017	127.0
IDGNBMEL_00849	MER0065588	175.0
IDGNBMEL_00877	MER0002455	121.0
IDGNBMEL_00881	MER0013471	47.8
IDGNBMEL_00888	MER0000485	172.0
IDGNBMEL_00893	MER0026545	118.0
IDGNBMEL_00911	MER0069741	67.8
IDGNBMEL_00946	MER0492485	78.6
IDGNBMEL_00971	MER0005169	177.0
IDGNBMEL_00981	MER0037236	82.8
IDGNBMEL_00996	MER0000277	108.0
IDGNBMEL_01026	MER0069741	108.0
IDGNBMEL_01080	MER0036617	47.0
IDGNBMEL_01116	MER0217243	66.2
IDGNBMEL_01134	MER0000474	180.0
IDGNBMEL_01170	MER0472834	67.8
IDGNBMEL_01190	MER0012158	199.0
IDGNBMEL_01200	MER0014135	240.0
IDGNBMEL_01253	MER0005767	71.6
IDGNBMEL_01254	MER0005767	50.8
IDGNBMEL_01289	MER0031610	149.0
IDGNBMEL_01294	MER0000474	223.0
IDGNBMEL_01308	MER0001290	68.6
IDGNBMEL_01332	MER0019096	55.8
IDGNBMEL_01333	MER0014140	47.8
IDGNBMEL_01340	MER0026494	238.0
IDGNBMEL_01430	MER0000332	63.5
IDGNBMEL_01468	MER0003376	49.3
IDGNBMEL_01494	MER0014366	487.0
IDGNBMEL_01495	MER0001158	719.0
IDGNBMEL_01513	MER0045886	181.0
IDGNBMEL_01519	MER0065554	255.0
IDGNBMEL_01523	MER0019280	95.1
IDGNBMEL_01525	MER0001400	256.0
IDGNBMEL_01549	MER0034615	334.0
IDGNBMEL_01567	MER0004925	325.0
IDGNBMEL_01614	MER0015472	73.9
IDGNBMEL_01620	MER0001978	501.0
IDGNBMEL_01631	MER0034539	259.0
IDGNBMEL_01636	MER0095620	267.0
IDGNBMEL_01651	MER0000576	67.4
IDGNBMEL_01664	MER0195774	129.0
IDGNBMEL_01665	MER0000495	45.4
IDGNBMEL_01675	MER0001400	279.0
IDGNBMEL_01728	MER0066178	54.3
IDGNBMEL_01832	MER0000589	56.2
IDGNBMEL_01858	MER0005139	73.2
IDGNBMEL_01862	MER0003850	167.0
IDGNBMEL_01885	MER0015475	82.0
IDGNBMEL_01921	MER0078640	214.0
IDGNBMEL_01926	MER0001423	315.0
IDGNBMEL_01933	MER0004035	93.6
IDGNBMEL_01941	MER0039993	506.0
IDGNBMEL_01942	MER0011509	58.9
IDGNBMEL_01994	MER0033186	199.0
IDGNBMEL_02028	MER0015166	101.0
IDGNBMEL_02166	MER0033259	77.0
IDGNBMEL_02172	MER0005244	108.0
IDGNBMEL_02189	MER0028047	205.0
IDGNBMEL_02240	MER0056525	262.0
IDGNBMEL_02279	MER0001009	49.3
IDGNBMEL_02283	MER0002251	223.0
IDGNBMEL_02286	MER0005742	45.4
IDGNBMEL_02290	MER0001243	199.0
IDGNBMEL_02333	MER0217243	44.7
IDGNBMEL_02361	MER0001295	164.0
IDGNBMEL_02427	MER0001289	66.2
IDGNBMEL_02444	MER0044622	150.0
IDGNBMEL_02497	MER1143079	157.0
IDGNBMEL_02522	MER0001161	481.0
IDGNBMEL_02523	MER0001284	204.0
IDGNBMEL_02543	MER0034582	98.2
IDGNBMEL_02629	MER0003376	57.8
IDGNBMEL_02674	MER0492485	92.4
IDGNBMEL_02694	MER0027775	68.9
IDGNBMEL_02757	MER0005767	67.4
IDGNBMEL_02760	MER0209507	45.4
IDGNBMEL_02777	MER0000410	395.0
IDGNBMEL_02811	MER0042827	107.0
IDGNBMEL_02831	MER0001284	65.9
IDGNBMEL_02832	MER0168983	61.2
IDGNBMEL_02841	MER0001920	184.0
IDGNBMEL_02844	MER0036038	73.6
IDGNBMEL_02891	MER0003558	68.9
IDGNBMEL_02966	MER0001421	431.0
IDGNBMEL_02987	MER0001244	188.0
IDGNBMEL_02988	MER0031619	68.9
IDGNBMEL_03017	MER0003380	135.0
IDGNBMEL_03031	MER0001313	44.3
IDGNBMEL_03047	MER0026262	106.0
IDGNBMEL_03048	MER0281397	84.3
