Query	Hit	Score
BOKICDJB_00132	MER0004923	128.0
BOKICDJB_00135	MER0005169	181.0
BOKICDJB_00194	MER0002007	257.0
BOKICDJB_00203	MER0073084	103.0
BOKICDJB_00212	MER0045883	49.7
BOKICDJB_00218	MER0026545	120.0
BOKICDJB_00222	MER0017193	224.0
BOKICDJB_00231	MER0014065	57.4
BOKICDJB_00239	MER0066178	55.1
BOKICDJB_00247	MER0198917	320.0
BOKICDJB_00295	MER0004468	71.6
BOKICDJB_00307	MER0036036	47.0
BOKICDJB_00355	MER0028025	160.0
BOKICDJB_00373	MER0003339	115.0
BOKICDJB_00397	MER1143079	119.0
BOKICDJB_00424	MER0004466	140.0
BOKICDJB_00436	MER0011583	143.0
BOKICDJB_00443	MER0044622	149.0
BOKICDJB_00467	MER0000410	370.0
BOKICDJB_00472	MER0001295	137.0
BOKICDJB_00474	MER0005778	55.8
BOKICDJB_00534	MER0069741	110.0
BOKICDJB_00604	MER0492485	61.2
BOKICDJB_00612	MER0000576	119.0
BOKICDJB_00646	MER0025086	114.0
BOKICDJB_00668	MER0003327	203.0
BOKICDJB_00674	MER0014135	241.0
BOKICDJB_00712	MER0011464	116.0
BOKICDJB_00715	MER0004775	507.0
BOKICDJB_00716	MER0004775	516.0
BOKICDJB_00739	MER0472834	53.9
BOKICDJB_00768	MER0001400	183.0
BOKICDJB_00779	MER0001297	122.0
BOKICDJB_00799	MER0005767	132.0
BOKICDJB_00842	MER0044357	69.3
BOKICDJB_00884	MER0031610	145.0
BOKICDJB_00970	MER0001421	438.0
BOKICDJB_01015	MER0209507	49.3
BOKICDJB_01017	MER0005767	73.6
BOKICDJB_01133	MER0078640	229.0
BOKICDJB_01170	MER0015475	72.8
BOKICDJB_01178	MER0018473	50.4
BOKICDJB_01186	MER0001161	509.0
BOKICDJB_01200	MER0194228	63.9
BOKICDJB_01217	MER0034582	117.0
BOKICDJB_01236	MER0004925	329.0
BOKICDJB_01238	MER0003336	236.0
BOKICDJB_01247	MER0036115	53.5
BOKICDJB_01264	MER0034539	108.0
BOKICDJB_01272	MER0015473	59.7
BOKICDJB_01273	MER0035036	44.7
BOKICDJB_01276	MER0000589	63.5
BOKICDJB_01319	MER0003380	59.7
BOKICDJB_01389	MER0195376	94.0
BOKICDJB_01429	MER0036044	78.2
BOKICDJB_01447	MER0005768	135.0
BOKICDJB_01448	MER0013976	72.4
BOKICDJB_01456	MER0028365	95.9
BOKICDJB_01464	MER0002031	71.2
BOKICDJB_01476	MER0047723	422.0
BOKICDJB_01560	MER0011440	49.3
BOKICDJB_01624	MER0005244	128.0
BOKICDJB_01627	MER0031556	43.9
BOKICDJB_01727	MER0168983	63.2
BOKICDJB_01730	MER0001236	245.0
BOKICDJB_01736	MER0065588	163.0
BOKICDJB_01807	MER0033186	206.0
BOKICDJB_01821	MER0004090	142.0
BOKICDJB_01840	MER0025086	139.0
BOKICDJB_01841	MER0025086	138.0
BOKICDJB_01845	MER0027775	93.2
BOKICDJB_01863	MER0034539	103.0
BOKICDJB_01885	MER0015121	50.4
BOKICDJB_01918	MER0011720	95.9
BOKICDJB_01920	MER0001244	204.0
BOKICDJB_01941	MER0000485	232.0
BOKICDJB_01957	MER0003242	55.5
BOKICDJB_01988	MER0003413	126.0
BOKICDJB_02069	MER0001423	66.6
BOKICDJB_02080	MER0000437	172.0
BOKICDJB_02083	MER0005767	114.0
BOKICDJB_02091	MER0042827	112.0
BOKICDJB_02100	MER0005139	73.9
BOKICDJB_02103	MER0006198	162.0
BOKICDJB_02104	MER0005768	103.0
BOKICDJB_02143	MER0015462	63.2
BOKICDJB_02257	MER0001295	153.0
BOKICDJB_02261	MER0002443	91.7
BOKICDJB_02266	MER0001423	357.0
BOKICDJB_02310	MER0001158	537.0
BOKICDJB_02316	MER0026494	231.0
BOKICDJB_02350	MER0017069	105.0
BOKICDJB_02359	MER0002655	164.0
BOKICDJB_02366	MER0001495	48.1
BOKICDJB_02387	MER0005813	47.8
BOKICDJB_02430	MER0056525	262.0
BOKICDJB_02511	MER0492485	43.9
BOKICDJB_02527	MER0003850	174.0
BOKICDJB_02532	MER0002489	115.0
BOKICDJB_02536	MER0002443	97.8
BOKICDJB_02550	MER0026262	110.0
BOKICDJB_02567	MER0034539	276.0
BOKICDJB_02569	MER0034539	147.0
BOKICDJB_02612	MER0001521	97.4
BOKICDJB_02617	MER0437468	246.0
BOKICDJB_02621	MER0045886	177.0
BOKICDJB_02634	MER0195774	124.0
BOKICDJB_02656	MER0005900	141.0
BOKICDJB_02728	MER0001978	488.0
BOKICDJB_02729	MER0001978	484.0
BOKICDJB_02743	MER0034615	327.0
BOKICDJB_02777	MER0005694	303.0
BOKICDJB_02805	MER0031431	57.0
BOKICDJB_02838	MER0003380	142.0
BOKICDJB_02859	MER0011781	54.7
BOKICDJB_02881	MER0036053	78.6
BOKICDJB_02883	MER0001244	181.0
BOKICDJB_02899	MER0192051	60.8
BOKICDJB_02970	MER0002036	83.2
BOKICDJB_02981	MER0056047	44.7
BOKICDJB_02984	MER0012283	62.0
BOKICDJB_02985	MER0002565	112.0
BOKICDJB_03007	MER0387040	59.3
BOKICDJB_03013	MER0031614	67.4
BOKICDJB_03019	MER0002601	131.0
BOKICDJB_03034	MER0001322	69.7
BOKICDJB_03063	MER0004514	73.2
BOKICDJB_03104	MER0000474	218.0
BOKICDJB_03113	MER0001299	278.0
BOKICDJB_03123	MER0014366	486.0
BOKICDJB_03146	MER0014333	189.0
BOKICDJB_03148	MER0001243	197.0
BOKICDJB_03164	MER0002251	202.0
BOKICDJB_03170	MER0091680	50.8
BOKICDJB_03191	MER0037236	99.4
BOKICDJB_03211	MER0195774	125.0
BOKICDJB_03212	MER0237414	73.2
BOKICDJB_03246	MER0016191	122.0
BOKICDJB_03283	MER0014140	45.8
