Query	Hit	Score
MMOLBLMN_00014	MER0004111	170.0
MMOLBLMN_00129	MER0004466	45.1
MMOLBLMN_00148	MER0016191	122.0
MMOLBLMN_00181	MER0000576	100.0
MMOLBLMN_00188	MER0003514	117.0
MMOLBLMN_00246	MER0019038	42.7
MMOLBLMN_00301	MER0014137	45.1
MMOLBLMN_00316	MER0014140	45.8
MMOLBLMN_00318	MER0026494	228.0
MMOLBLMN_00340	MER0003558	67.8
MMOLBLMN_00382	MER0036038	80.5
MMOLBLMN_00431	MER0044357	84.3
MMOLBLMN_00441	MER0198917	329.0
MMOLBLMN_00446	MER0065588	162.0
MMOLBLMN_00453	MER0028025	150.0
MMOLBLMN_00476	MER0032203	50.1
MMOLBLMN_00491	MER0001423	350.0
MMOLBLMN_00496	MER0002443	95.9
MMOLBLMN_00499	MER0001295	161.0
MMOLBLMN_00502	MER0037236	82.4
MMOLBLMN_00544	MER0217243	55.8
MMOLBLMN_00579	MER0004466	42.0
MMOLBLMN_00630	MER0001243	178.0
MMOLBLMN_00635	MER0002251	209.0
MMOLBLMN_00640	MER0011175	46.2
MMOLBLMN_00642	MER0077555	80.5
MMOLBLMN_00779	MER0069741	113.0
MMOLBLMN_00849	MER0001602	121.0
MMOLBLMN_00861	MER0011700	144.0
MMOLBLMN_00869	MER0005900	98.2
MMOLBLMN_00892	MER0017177	64.7
MMOLBLMN_00895	MER0003380	71.2
MMOLBLMN_00908	MER0045886	169.0
MMOLBLMN_00912	MER0065554	247.0
MMOLBLMN_00917	MER0000310	85.1
MMOLBLMN_00932	MER1143079	133.0
MMOLBLMN_00933	MER0003376	42.7
MMOLBLMN_00937	MER0034615	313.0
MMOLBLMN_00967	MER0066182	76.3
MMOLBLMN_01028	MER0002601	119.0
MMOLBLMN_01032	MER0152618	42.7
MMOLBLMN_01034	MER0003339	109.0
MMOLBLMN_01043	MER0015468	54.7
MMOLBLMN_01044	MER0035036	52.8
MMOLBLMN_01048	MER0000589	55.5
MMOLBLMN_01053	MER0014333	203.0
MMOLBLMN_01150	MER0015472	66.2
MMOLBLMN_01362	MER0069741	62.8
MMOLBLMN_01380	MER0042387	114.0
MMOLBLMN_01386	MER0000485	239.0
MMOLBLMN_01409	MER0005139	72.8
MMOLBLMN_01410	MER0002161	77.8
MMOLBLMN_01414	MER0001421	428.0
MMOLBLMN_01444	MER0001322	67.4
MMOLBLMN_01610	MER0195376	82.4
MMOLBLMN_01664	MER0042827	104.0
MMOLBLMN_01678	MER0001284	71.2
MMOLBLMN_01679	MER0168983	67.0
MMOLBLMN_01702	MER0039993	489.0
MMOLBLMN_01728	MER0047723	424.0
MMOLBLMN_01732	MER0001495	47.4
MMOLBLMN_01739	MER0002646	169.0
MMOLBLMN_01790	MER0002959	134.0
MMOLBLMN_01799	MER0492485	44.3
MMOLBLMN_01819	MER0028047	205.0
MMOLBLMN_01828	MER0472834	52.8
MMOLBLMN_01895	MER0044622	152.0
MMOLBLMN_01989	MER0036053	69.7
MMOLBLMN_01990	MER0026262	124.0
MMOLBLMN_01993	MER0001244	184.0
MMOLBLMN_02004	MER0195774	120.0
MMOLBLMN_02005	MER0237414	71.2
MMOLBLMN_02014	MER0034541	228.0
MMOLBLMN_02015	MER0003338	155.0
MMOLBLMN_02099	MER0012158	209.0
MMOLBLMN_02107	MER0014135	236.0
MMOLBLMN_02133	MER0003380	136.0
MMOLBLMN_02176	MER0039993	497.0
MMOLBLMN_02200	MER0005767	130.0
MMOLBLMN_02229	MER0031617	79.0
MMOLBLMN_02230	MER0003280	68.6
MMOLBLMN_02295	MER0011806	53.5
MMOLBLMN_02301	MER0036038	80.5
MMOLBLMN_02340	MER0005694	309.0
MMOLBLMN_02347	MER0192051	45.8
MMOLBLMN_02427	MER0100667	69.3
MMOLBLMN_02434	MER0000332	113.0
MMOLBLMN_02435	MER0001010	61.6
MMOLBLMN_02438	MER0003514	130.0
MMOLBLMN_02456	MER0192051	54.3
MMOLBLMN_02469	MER0003376	85.9
MMOLBLMN_02531	MER0003242	314.0
MMOLBLMN_02541	MER0015424	143.0
MMOLBLMN_02543	MER0281397	68.6
MMOLBLMN_02565	MER0264123	59.7
MMOLBLMN_02592	MER0001009	92.8
MMOLBLMN_02593	MER0004469	76.3
MMOLBLMN_02615	MER0015166	102.0
MMOLBLMN_02662	MER0002959	78.6
MMOLBLMN_02670	MER0061102	45.4
MMOLBLMN_02679	MER0059846	167.0
MMOLBLMN_02681	MER0005837	44.7
MMOLBLMN_02750	MER0004154	125.0
MMOLBLMN_02766	MER0000410	362.0
MMOLBLMN_02787	MER0209507	44.7
MMOLBLMN_02789	MER0005767	62.0
MMOLBLMN_02792	MER0073084	96.7
MMOLBLMN_02794	MER0005764	57.0
MMOLBLMN_02811	MER0004090	119.0
MMOLBLMN_02816	MER0036027	57.4
MMOLBLMN_02825	MER0057728	113.0
MMOLBLMN_02827	MER0005169	182.0
MMOLBLMN_02829	MER0002422	45.4
MMOLBLMN_02861	MER0015121	61.2
MMOLBLMN_02911	MER0000431	64.3
MMOLBLMN_02916	MER0019325	72.8
MMOLBLMN_02953	MER0000277	94.7
MMOLBLMN_03001	MER0031431	55.1
MMOLBLMN_03045	MER0000410	293.0
MMOLBLMN_03146	MER0000474	214.0
MMOLBLMN_03149	MER0031610	147.0
MMOLBLMN_03222	MER0001266	99.0
MMOLBLMN_03228	MER0001313	50.1
MMOLBLMN_03233	MER0013484	115.0
MMOLBLMN_03261	MER0002968	55.5
MMOLBLMN_03279	MER0042387	43.1
MMOLBLMN_03348	MER0015424	183.0
MMOLBLMN_03418	MER0017401	67.4
MMOLBLMN_03473	MER0033186	197.0
MMOLBLMN_03476	MER0001158	408.0
MMOLBLMN_03498	MER0034539	102.0
MMOLBLMN_03538	MER0034582	115.0
MMOLBLMN_03543	MER0001284	70.9
MMOLBLMN_03568	MER0001161	495.0
MMOLBLMN_03575	MER0016067	54.3
MMOLBLMN_03592	MER0003558	55.1
MMOLBLMN_03602	MER0015475	80.5
MMOLBLMN_03639	MER0078640	223.0
MMOLBLMN_03650	MER0011748	259.0
MMOLBLMN_03674	MER0035032	43.5
MMOLBLMN_03680	MER0034539	265.0
