Query	Hit	Score
PAHIKAKH_00016	MER0028025	162.0
PAHIKAKH_00114	MER0011781	58.2
PAHIKAKH_00135	MER0001244	186.0
PAHIKAKH_00167	MER0005764	56.6
PAHIKAKH_00169	MER0005767	67.4
PAHIKAKH_00219	MER0002565	129.0
PAHIKAKH_00220	MER0011345	63.2
PAHIKAKH_00231	MER0192051	52.4
PAHIKAKH_00243	MER0069741	76.3
PAHIKAKH_00251	MER0237414	88.2
PAHIKAKH_00252	MER0195774	135.0
PAHIKAKH_00281	MER0001297	134.0
PAHIKAKH_00308	MER0003336	186.0
PAHIKAKH_00340	MER0045094	157.0
PAHIKAKH_00342	MER0492485	42.7
PAHIKAKH_00366	MER0000576	111.0
PAHIKAKH_00370	MER0001299	266.0
PAHIKAKH_00390	MER0035036	63.2
PAHIKAKH_00391	MER0048181	49.7
PAHIKAKH_00410	MER0000485	226.0
PAHIKAKH_00427	MER0003380	101.0
PAHIKAKH_00461	MER0005244	120.0
PAHIKAKH_00471	MER0026494	237.0
PAHIKAKH_00481	MER0012158	188.0
PAHIKAKH_00486	MER0001295	170.0
PAHIKAKH_00522	MER0042827	110.0
PAHIKAKH_00534	MER0016172	115.0
PAHIKAKH_00613	MER0000474	217.0
PAHIKAKH_00615	MER0031610	157.0
PAHIKAKH_00625	MER0026471	59.7
PAHIKAKH_00641	MER0014418	98.2
PAHIKAKH_00674	MER0044357	84.0
PAHIKAKH_00684	MER0437468	247.0
PAHIKAKH_00700	MER0000474	175.0
PAHIKAKH_00703	MER0195376	87.0
PAHIKAKH_00740	MER0003380	45.4
PAHIKAKH_00748	MER0056525	254.0
PAHIKAKH_00752	MER0001244	189.0
PAHIKAKH_00795	MER0003380	133.0
PAHIKAKH_00826	MER0036635	40.8
PAHIKAKH_00830	MER0000589	64.7
PAHIKAKH_00838	MER0001266	91.7
PAHIKAKH_00864	MER0003339	45.8
PAHIKAKH_00865	MER0005837	45.4
PAHIKAKH_00868	MER0069741	56.6
PAHIKAKH_00892	MER0005767	119.0
PAHIKAKH_00911	MER0034539	268.0
PAHIKAKH_00945	MER0014135	244.0
PAHIKAKH_00975	MER0045886	145.0
PAHIKAKH_00981	MER0004469	73.9
PAHIKAKH_00985	MER0237414	59.3
PAHIKAKH_00992	MER0000268	153.0
PAHIKAKH_01007	MER0001161	242.0
PAHIKAKH_01014	MER0006319	187.0
PAHIKAKH_01023	MER0001283	379.0
PAHIKAKH_01057	MER0001243	186.0
PAHIKAKH_01073	MER0195774	139.0
PAHIKAKH_01091	MER0001978	328.0
PAHIKAKH_01135	MER0006198	132.0
PAHIKAKH_01166	MER0001284	71.6
PAHIKAKH_01190	MER0065588	172.0
PAHIKAKH_01206	MER0014418	166.0
PAHIKAKH_01223	MER0001380	145.0
PAHIKAKH_01226	MER0036115	53.9
PAHIKAKH_01259	MER0001495	47.4
PAHIKAKH_01304	MER0005994	58.2
PAHIKAKH_01310	MER0000410	347.0
PAHIKAKH_01332	MER0043540	89.0
PAHIKAKH_01390	MER0005900	146.0
