Query	Hit	Score
JAJOBGNF_00033	MER0021822	46.6
JAJOBGNF_00054	MER0237414	68.6
JAJOBGNF_00055	MER0195774	117.0
JAJOBGNF_00078	MER0002251	209.0
JAJOBGNF_00083	MER0002443	95.1
JAJOBGNF_00143	MER0000410	366.0
JAJOBGNF_00158	MER0001299	263.0
JAJOBGNF_00170	MER0019759	65.9
JAJOBGNF_00176	MER0491616	53.9
JAJOBGNF_00195	MER0015415	53.1
JAJOBGNF_00243	MER0001297	154.0
JAJOBGNF_00290	MER0491616	141.0
JAJOBGNF_00297	MER0004466	42.7
JAJOBGNF_00426	MER0192051	56.2
JAJOBGNF_00450	MER0001335	63.5
JAJOBGNF_00518	MER0002642	137.0
JAJOBGNF_00550	MER0000268	171.0
JAJOBGNF_00553	MER0491616	108.0
JAJOBGNF_00569	MER0187003	42.0
JAJOBGNF_00623	MER0002565	128.0
JAJOBGNF_00653	MER0001161	430.0
JAJOBGNF_00691	MER0031431	85.5
JAJOBGNF_00722	MER0001283	260.0
JAJOBGNF_00840	MER0039993	501.0
JAJOBGNF_00893	MER0195774	80.9
JAJOBGNF_00906	MER0095620	268.0
JAJOBGNF_00913	MER0001978	492.0
JAJOBGNF_00946	MER0042827	107.0
JAJOBGNF_00952	MER0107796	42.7
JAJOBGNF_00997	MER0026494	247.0
JAJOBGNF_01041	MER0003242	312.0
JAJOBGNF_01075	MER0004090	131.0
JAJOBGNF_01093	MER0031610	134.0
JAJOBGNF_01097	MER0034541	270.0
JAJOBGNF_01113	MER0281397	75.9
JAJOBGNF_01124	MER0020201	43.5
JAJOBGNF_01127	MER0036072	70.5
JAJOBGNF_01138	MER0000474	216.0
JAJOBGNF_01163	MER0005837	47.0
JAJOBGNF_01170	MER0011700	149.0
JAJOBGNF_01184	MER0001158	692.0
JAJOBGNF_01231	MER0044622	163.0
JAJOBGNF_01320	MER0011806	63.5
JAJOBGNF_01371	MER0000485	222.0
JAJOBGNF_01423	MER0016067	55.1
JAJOBGNF_01426	MER0006293	96.7
JAJOBGNF_01436	MER0003105	201.0
JAJOBGNF_01539	MER0000392	310.0
JAJOBGNF_01547	MER0001243	205.0
JAJOBGNF_01597	MER0897124	97.8
JAJOBGNF_01640	MER0034615	351.0
JAJOBGNF_01703	MER0031611	75.1
JAJOBGNF_01705	MER0044357	61.2
JAJOBGNF_01791	MER0003816	47.4
JAJOBGNF_01816	MER0001423	318.0
JAJOBGNF_01819	MER0069741	105.0
JAJOBGNF_01851	MER0002036	43.9
JAJOBGNF_01867	MER0015462	54.3
JAJOBGNF_01887	MER0000332	123.0
JAJOBGNF_01910	MER0039993	365.0
JAJOBGNF_01918	MER0026552	116.0
JAJOBGNF_01919	MER0000589	67.4
JAJOBGNF_01922	MER0003807	66.2
JAJOBGNF_01928	MER0045886	134.0
JAJOBGNF_01931	MER0003327	183.0
JAJOBGNF_01980	MER0015458	63.5
JAJOBGNF_01982	MER0195376	75.9
JAJOBGNF_01996	MER0014135	243.0
JAJOBGNF_01999	MER0001602	42.4
JAJOBGNF_02005	MER0002746	114.0
JAJOBGNF_02012	MER0004775	492.0
JAJOBGNF_02106	MER0056525	254.0
JAJOBGNF_02130	MER0078640	218.0
JAJOBGNF_02177	MER0004054	62.0
