Query	Hit	Score
BHKGMEMC_00007	MER0029657	59.3
BHKGMEMC_00010	MER0016067	61.2
BHKGMEMC_00015	MER1143079	110.0
BHKGMEMC_00025	MER0002031	80.1
BHKGMEMC_00068	MER0004146	82.0
BHKGMEMC_00075	MER0024252	66.6
BHKGMEMC_00098	MER0001009	81.6
BHKGMEMC_00112	MER0001612	367.0
BHKGMEMC_00137	MER0033186	201.0
BHKGMEMC_00199	MER0030934	127.0
BHKGMEMC_00210	MER0002084	58.9
BHKGMEMC_00214	MER0017142	58.9
BHKGMEMC_00233	MER0031617	63.9
BHKGMEMC_00245	MER0026262	95.5
BHKGMEMC_00275	MER0019759	62.4
BHKGMEMC_00277	MER0014465	113.0
BHKGMEMC_00281	MER0014135	244.0
BHKGMEMC_00283	MER0492485	78.6
BHKGMEMC_00284	MER0034558	150.0
BHKGMEMC_00292	MER0437468	236.0
BHKGMEMC_00320	MER0017248	93.2
BHKGMEMC_00354	MER0033259	88.6
BHKGMEMC_00376	MER0017069	110.0
BHKGMEMC_00429	MER0001593	127.0
BHKGMEMC_00439	MER0001299	273.0
BHKGMEMC_00523	MER0034539	124.0
BHKGMEMC_00596	MER0001290	55.8
BHKGMEMC_00606	MER0056525	247.0
BHKGMEMC_00615	MER0000410	390.0
BHKGMEMC_00646	MER0026262	78.6
BHKGMEMC_00663	MER0026552	47.0
BHKGMEMC_00664	MER0281397	52.0
BHKGMEMC_00669	MER0004954	98.2
BHKGMEMC_00688	MER0036308	57.0
BHKGMEMC_00697	MER0002443	110.0
BHKGMEMC_00753	MER0015475	58.9
BHKGMEMC_00757	MER0030136	45.1
BHKGMEMC_00777	MER0014366	444.0
BHKGMEMC_00793	MER0005837	45.4
BHKGMEMC_00826	MER0044996	98.2
BHKGMEMC_00827	MER0000265	73.2
BHKGMEMC_00847	MER0001421	393.0
BHKGMEMC_00926	MER0001295	166.0
BHKGMEMC_00946	MER0016191	117.0
BHKGMEMC_01022	MER0015468	63.5
BHKGMEMC_01044	MER0037236	77.0
BHKGMEMC_01092	MER0061102	95.1
BHKGMEMC_01143	MER0026262	103.0
BHKGMEMC_01179	MER0018254	120.0
BHKGMEMC_01206	MER0004199	47.4
BHKGMEMC_01210	MER0005900	52.0
BHKGMEMC_01214	MER0004154	94.4
BHKGMEMC_01226	MER0223899	42.4
BHKGMEMC_01247	MER0001026	149.0
BHKGMEMC_01269	MER0033259	61.6
BHKGMEMC_01278	MER0001920	193.0
BHKGMEMC_01312	MER0014664	86.7
BHKGMEMC_01320	MER0000431	48.1
BHKGMEMC_01327	MER0013541	61.2
BHKGMEMC_01340	MER0001425	45.4
BHKGMEMC_01360	MER0012283	44.7
BHKGMEMC_01366	MER0015691	79.3
BHKGMEMC_01373	MER0492485	43.1
BHKGMEMC_01400	MER0015473	69.3
BHKGMEMC_01405	MER1143079	154.0
BHKGMEMC_01429	MER0002251	181.0
BHKGMEMC_01430	MER0000472	117.0
BHKGMEMC_01433	MER0073084	116.0
BHKGMEMC_01434	MER0168983	67.4
BHKGMEMC_01480	MER0003338	78.6
BHKGMEMC_01481	MER0005768	131.0
BHKGMEMC_01490	MER0001236	219.0
BHKGMEMC_01491	MER0066178	45.1
