Query	Hit	Score
IOAMJLCJ_00044	MER0001400	177.0
IOAMJLCJ_00048	MER0003514	124.0
IOAMJLCJ_00055	MER0001010	48.9
IOAMJLCJ_00068	MER0001299	253.0
IOAMJLCJ_00116	MER0001423	360.0
IOAMJLCJ_00156	MER0003537	165.0
IOAMJLCJ_00199	MER0028284	73.9
IOAMJLCJ_00205	MER0281397	69.7
IOAMJLCJ_00265	MER0000485	224.0
IOAMJLCJ_00301	MER1143079	139.0
IOAMJLCJ_00320	MER0066178	69.3
IOAMJLCJ_00337	MER0004146	80.9
IOAMJLCJ_00343	MER0095620	214.0
IOAMJLCJ_00364	MER0028934	52.4
IOAMJLCJ_00409	MER0005196	295.0
IOAMJLCJ_00419	MER0073084	106.0
IOAMJLCJ_00422	MER0047723	415.0
IOAMJLCJ_00537	MER0069741	107.0
IOAMJLCJ_00599	MER0002443	85.1
IOAMJLCJ_00618	MER0014188	68.9
IOAMJLCJ_00637	MER0031563	84.0
IOAMJLCJ_00673	MER0003380	146.0
IOAMJLCJ_00683	MER0000410	349.0
IOAMJLCJ_00722	MER0034582	121.0
IOAMJLCJ_00830	MER0001161	119.0
IOAMJLCJ_00852	MER0011785	56.2
IOAMJLCJ_00853	MER0001421	420.0
IOAMJLCJ_00916	MER0002251	207.0
IOAMJLCJ_00923	MER0001243	198.0
IOAMJLCJ_00959	MER0004090	138.0
IOAMJLCJ_00968	MER0000576	107.0
IOAMJLCJ_00984	MER0002003	70.9
IOAMJLCJ_00990	MER0003242	54.3
IOAMJLCJ_01001	MER0014135	243.0
IOAMJLCJ_01050	MER0066178	65.5
IOAMJLCJ_01065	MER0192051	59.3
IOAMJLCJ_01100	MER0000576	79.7
IOAMJLCJ_01124	MER0016191	130.0
IOAMJLCJ_01126	MER0004775	506.0
IOAMJLCJ_01134	MER0001295	166.0
IOAMJLCJ_01138	MER0001158	221.0
IOAMJLCJ_01139	MER0001158	172.0
IOAMJLCJ_01142	MER0002642	136.0
IOAMJLCJ_01164	MER0039993	480.0
IOAMJLCJ_01177	MER0002443	53.9
IOAMJLCJ_01218	MER0031614	52.8
IOAMJLCJ_01248	MER0281397	49.3
IOAMJLCJ_01257	MER0000332	119.0
IOAMJLCJ_01288	MER0016351	47.8
IOAMJLCJ_01328	MER0001289	71.2
IOAMJLCJ_01357	MER0065588	159.0
IOAMJLCJ_01449	MER0001244	182.0
IOAMJLCJ_01467	MER0030047	48.9
IOAMJLCJ_01472	MER0001009	52.4
IOAMJLCJ_01484	MER0209507	45.8
IOAMJLCJ_01486	MER0005767	60.1
IOAMJLCJ_01532	MER0001978	478.0
IOAMJLCJ_01590	MER0034582	118.0
IOAMJLCJ_01617	MER0038671	52.4
IOAMJLCJ_01623	MER0003306	109.0
IOAMJLCJ_01641	MER0001161	513.0
IOAMJLCJ_01663	MER0056525	255.0
IOAMJLCJ_01668	MER0045886	174.0
IOAMJLCJ_01675	MER0065554	243.0
IOAMJLCJ_01704	MER0042827	108.0
IOAMJLCJ_01780	MER0004090	149.0
IOAMJLCJ_01784	MER0195376	95.9
IOAMJLCJ_01843	MER0031431	63.5
IOAMJLCJ_01885	MER0492485	76.6
IOAMJLCJ_01907	MER0015475	77.0
IOAMJLCJ_02010	MER0005139	72.4
IOAMJLCJ_02014	MER0066178	55.8
IOAMJLCJ_02018	MER0005244	140.0
IOAMJLCJ_02036	MER0026494	224.0
IOAMJLCJ_02060	MER0026262	81.3
IOAMJLCJ_02062	MER0492485	53.9
IOAMJLCJ_02080	MER0066178	50.8
IOAMJLCJ_02081	MER0001236	256.0
IOAMJLCJ_02094	MER0034539	144.0
IOAMJLCJ_02125	MER0019759	95.9
IOAMJLCJ_02139	MER0004775	473.0
IOAMJLCJ_02175	MER0168983	62.4
IOAMJLCJ_02202	MER0014664	82.4
IOAMJLCJ_02220	MER0005169	184.0
IOAMJLCJ_02274	MER0004196	121.0
IOAMJLCJ_02295	MER0034615	333.0
IOAMJLCJ_02312	MER0014366	491.0
IOAMJLCJ_02334	MER0000474	224.0
IOAMJLCJ_02337	MER0031610	146.0
IOAMJLCJ_02506	MER0003081	52.8
IOAMJLCJ_02507	MER0237414	68.6
IOAMJLCJ_02508	MER0195774	120.0
IOAMJLCJ_02587	MER0025086	135.0
IOAMJLCJ_02591	MER0027775	81.3
IOAMJLCJ_02636	MER0015458	59.3
IOAMJLCJ_02662	MER0005767	134.0
IOAMJLCJ_02668	MER0042387	85.1
IOAMJLCJ_02696	MER0033186	197.0
IOAMJLCJ_02737	MER0044622	155.0
IOAMJLCJ_02742	MER0026262	114.0
IOAMJLCJ_02762	MER0048181	79.0
IOAMJLCJ_02788	MER1143079	110.0
IOAMJLCJ_02806	MER0036053	73.2
IOAMJLCJ_02821	MER0011806	56.2
IOAMJLCJ_02885	MER0025086	127.0
IOAMJLCJ_02909	MER0013626	57.8
IOAMJLCJ_02912	MER0015473	50.8
IOAMJLCJ_02913	MER0017194	57.8
IOAMJLCJ_02930	MER0026262	123.0
IOAMJLCJ_02965	MER0037236	77.4
IOAMJLCJ_02995	MER0078640	221.0
IOAMJLCJ_02996	MER0005768	133.0
IOAMJLCJ_02997	MER0003303	73.9
IOAMJLCJ_03037	MER0001009	91.7
IOAMJLCJ_03038	MER0004480	65.1
IOAMJLCJ_03051	MER0281397	73.9
IOAMJLCJ_03087	MER0003380	67.8
