Query	Hit	Score
FKGDAPPD_00042	MER0045479	75.9
FKGDAPPD_00049	MER0011781	56.2
FKGDAPPD_00090	MER0897124	90.5
FKGDAPPD_00208	MER0031610	155.0
FKGDAPPD_00211	MER0000474	226.0
FKGDAPPD_00255	MER0198917	322.0
FKGDAPPD_00273	MER0003514	125.0
FKGDAPPD_00287	MER0003327	195.0
FKGDAPPD_00294	MER0014135	241.0
FKGDAPPD_00297	MER0001313	44.3
FKGDAPPD_00307	MER0003380	142.0
FKGDAPPD_00343	MER0036053	76.6
FKGDAPPD_00346	MER0001244	192.0
FKGDAPPD_00347	MER0003418	47.4
FKGDAPPD_00351	MER0001290	60.1
FKGDAPPD_00423	MER0005767	125.0
FKGDAPPD_00488	MER0028025	152.0
FKGDAPPD_00499	MER0044357	85.9
FKGDAPPD_00625	MER0069741	108.0
FKGDAPPD_00638	MER0033237	65.5
FKGDAPPD_00652	MER0036027	63.9
FKGDAPPD_00701	MER0017009	120.0
FKGDAPPD_00703	MER0002755	54.7
FKGDAPPD_00716	MER0001297	128.0
FKGDAPPD_00723	MER0001920	193.0
FKGDAPPD_00739	MER0192051	57.4
FKGDAPPD_00766	MER0217243	62.8
FKGDAPPD_00768	MER0000392	302.0
FKGDAPPD_00828	MER0001978	472.0
FKGDAPPD_00832	MER0015472	58.5
FKGDAPPD_00833	MER0000485	230.0
FKGDAPPD_00871	MER0026494	239.0
FKGDAPPD_00926	MER0472834	43.5
FKGDAPPD_00969	MER0003558	73.9
FKGDAPPD_00970	MER0209507	48.9
FKGDAPPD_00972	MER0005767	61.6
FKGDAPPD_00975	MER0073084	102.0
FKGDAPPD_00983	MER0065554	245.0
FKGDAPPD_01018	MER0059846	176.0
FKGDAPPD_01050	MER0045886	170.0
FKGDAPPD_01059	MER0034541	287.0
FKGDAPPD_01087	MER0028047	213.0
FKGDAPPD_01093	MER0492485	42.0
FKGDAPPD_01149	MER0013623	175.0
FKGDAPPD_01201	MER0002489	140.0
FKGDAPPD_01213	MER0004035	83.6
FKGDAPPD_01294	MER0069741	63.5
FKGDAPPD_01307	MER0026545	115.0
FKGDAPPD_01315	MER0001322	69.7
FKGDAPPD_01372	MER0061102	47.4
FKGDAPPD_01411	MER0056525	257.0
FKGDAPPD_01446	MER0001009	50.8
FKGDAPPD_01450	MER0002251	227.0
FKGDAPPD_01458	MER0001243	192.0
FKGDAPPD_01573	MER0000589	58.2
FKGDAPPD_01577	MER0048181	54.7
FKGDAPPD_01578	MER0030047	59.3
FKGDAPPD_01615	MER0031619	45.4
FKGDAPPD_01635	MER0078640	223.0
FKGDAPPD_01673	MER0015475	72.8
FKGDAPPD_01682	MER0018473	48.1
FKGDAPPD_01684	MER0016067	68.6
FKGDAPPD_01692	MER0001161	488.0
FKGDAPPD_01710	MER0001284	69.3
FKGDAPPD_01715	MER0034582	124.0
FKGDAPPD_01748	MER0001299	52.0
FKGDAPPD_01820	MER0214939	46.6
FKGDAPPD_01847	MER0013450	199.0
FKGDAPPD_01924	MER0001421	416.0
FKGDAPPD_01925	MER0018254	110.0
FKGDAPPD_01999	MER0033186	207.0
FKGDAPPD_02021	MER0195376	87.4
FKGDAPPD_02022	MER0195376	76.3
FKGDAPPD_02063	MER0042827	110.0
FKGDAPPD_02069	MER0026262	97.4
FKGDAPPD_02076	MER0168983	61.2
FKGDAPPD_02090	MER0047723	441.0
FKGDAPPD_02094	MER0173063	179.0
FKGDAPPD_02101	MER0069741	45.1
FKGDAPPD_02123	MER0019759	50.8
FKGDAPPD_02128	MER0001602	120.0
FKGDAPPD_02189	MER0001945	67.4
FKGDAPPD_02191	MER0001233	167.0
FKGDAPPD_02238	MER0018539	118.0
FKGDAPPD_02253	MER0069741	87.4
FKGDAPPD_02305	MER0013541	41.2
FKGDAPPD_02335	MER0003242	316.0
FKGDAPPD_02346	MER0281397	67.8
FKGDAPPD_02386	MER0016191	127.0
FKGDAPPD_02492	MER0000474	175.0
FKGDAPPD_02579	MER0031562	104.0
FKGDAPPD_02586	MER0045094	153.0
FKGDAPPD_02629	MER0044633	57.4
FKGDAPPD_02704	MER0037236	87.4
FKGDAPPD_02707	MER0001295	150.0
FKGDAPPD_02711	MER0002443	99.4
FKGDAPPD_02716	MER0001423	331.0
FKGDAPPD_02721	MER0001233	157.0
FKGDAPPD_02753	MER0013471	64.7
FKGDAPPD_02775	MER0000410	374.0
FKGDAPPD_02798	MER0001299	288.0
FKGDAPPD_02814	MER0491616	105.0
FKGDAPPD_02833	MER0002746	107.0
FKGDAPPD_02849	MER0035017	122.0
FKGDAPPD_02852	MER0042581	231.0
FKGDAPPD_02908	MER0013829	178.0
FKGDAPPD_02918	MER0492485	47.8
FKGDAPPD_02939	MER0001425	61.2
FKGDAPPD_02957	MER0005139	73.6
FKGDAPPD_03084	MER0065588	168.0
FKGDAPPD_03099	MER0001920	189.0
FKGDAPPD_03123	MER0000459	44.7
