Query	Hit	Score
BPALEMOK_00023	MER0492485	63.9
BPALEMOK_00024	MER0492485	91.3
BPALEMOK_00092	MER0048535	44.3
BPALEMOK_00095	MER0004957	55.1
BPALEMOK_00143	MER0037236	88.6
BPALEMOK_00148	MER0001295	161.0
BPALEMOK_00153	MER0002443	100.0
BPALEMOK_00158	MER0001423	351.0
BPALEMOK_00198	MER0005900	87.4
BPALEMOK_00200	MER0017353	68.6
BPALEMOK_00222	MER0031565	80.1
BPALEMOK_00248	MER0026494	233.0
BPALEMOK_00250	MER0014140	55.8
BPALEMOK_00318	MER0005767	127.0
BPALEMOK_00367	MER0195774	128.0
BPALEMOK_00368	MER0237414	75.5
BPALEMOK_00399	MER0039993	498.0
BPALEMOK_00404	MER0001289	63.2
BPALEMOK_00410	MER0001244	187.0
BPALEMOK_00416	MER0026339	67.8
BPALEMOK_00451	MER0003380	126.0
BPALEMOK_00462	MER0013541	62.4
BPALEMOK_00463	MER0001313	49.3
BPALEMOK_00467	MER0014135	242.0
BPALEMOK_00474	MER0012158	196.0
BPALEMOK_00480	MER0000576	103.0
BPALEMOK_00520	MER0897124	86.7
BPALEMOK_00521	MER0019759	89.4
BPALEMOK_00553	MER0281397	70.1
BPALEMOK_00556	MER0025086	122.0
BPALEMOK_00650	MER0069741	80.5
BPALEMOK_00665	MER0192051	56.6
BPALEMOK_00684	MER0003514	128.0
BPALEMOK_00686	MER0001009	62.0
BPALEMOK_00687	MER0017009	117.0
BPALEMOK_00696	MER0100667	71.6
BPALEMOK_00760	MER0100667	56.2
BPALEMOK_00776	MER0036036	60.8
BPALEMOK_00782	MER0011806	50.4
BPALEMOK_00806	MER0034541	247.0
BPALEMOK_00807	MER0003338	166.0
BPALEMOK_00898	MER0004775	517.0
BPALEMOK_00900	MER0030257	108.0
BPALEMOK_00939	MER0016191	125.0
BPALEMOK_00966	MER0025086	100.0
BPALEMOK_00968	MER0050859	263.0
BPALEMOK_00991	MER0003514	126.0
BPALEMOK_01012	MER0001400	179.0
BPALEMOK_01071	MER0003338	166.0
BPALEMOK_01073	MER0005768	145.0
BPALEMOK_01076	MER0003336	164.0
BPALEMOK_01146	MER0031610	151.0
BPALEMOK_01149	MER0000474	223.0
BPALEMOK_01175	MER0001313	55.1
BPALEMOK_01196	MER0005244	87.8
BPALEMOK_01203	MER0044357	73.9
BPALEMOK_01225	MER0000443	238.0
BPALEMOK_01327	MER0013450	198.0
BPALEMOK_01393	MER0005139	68.6
BPALEMOK_01394	MER0002161	77.8
BPALEMOK_01438	MER0044581	67.0
