Query	Hit	Score
KBIJPNGH_00031	MER0045886	203.0
KBIJPNGH_00047	MER0175622	82.0
KBIJPNGH_00093	MER0028025	160.0
KBIJPNGH_00098	MER0060647	266.0
KBIJPNGH_00124	MER0002601	127.0
KBIJPNGH_00148	MER0033259	70.9
KBIJPNGH_00170	MER1143079	138.0
KBIJPNGH_00204	MER0033259	83.2
KBIJPNGH_00217	MER0195376	62.4
KBIJPNGH_00250	MER0014065	61.6
KBIJPNGH_00288	MER0005169	178.0
KBIJPNGH_00298	MER0005244	114.0
KBIJPNGH_00299	MER0005244	117.0
KBIJPNGH_00300	MER0005244	95.5
KBIJPNGH_00311	MER0195774	74.7
KBIJPNGH_00313	MER0001284	83.6
KBIJPNGH_00348	MER0001243	188.0
KBIJPNGH_00356	MER0004925	316.0
KBIJPNGH_00387	MER0005139	76.6
KBIJPNGH_00413	MER0031619	50.4
KBIJPNGH_00414	MER0000432	172.0
KBIJPNGH_00497	MER0004775	396.0
KBIJPNGH_00536	MER0061102	83.6
KBIJPNGH_00537	MER0061102	42.0
KBIJPNGH_00538	MER0031562	47.8
KBIJPNGH_00541	MER0026339	335.0
KBIJPNGH_00551	MER0002443	107.0
KBIJPNGH_00563	MER0065588	171.0
KBIJPNGH_00568	MER0001289	89.4
KBIJPNGH_00569	MER0001289	83.2
KBIJPNGH_00570	MER0001289	87.4
KBIJPNGH_00580	MER0013425	73.2
KBIJPNGH_00601	MER0011806	160.0
KBIJPNGH_00664	MER0030235	89.0
KBIJPNGH_00668	MER0043126	47.0
KBIJPNGH_00781	MER0001423	194.0
KBIJPNGH_00782	MER0001244	161.0
KBIJPNGH_00788	MER0002084	271.0
KBIJPNGH_00938	MER0026494	257.0
KBIJPNGH_00988	MER0066178	48.5
KBIJPNGH_00989	MER0001236	223.0
KBIJPNGH_00999	MER0005768	129.0
KBIJPNGH_01000	MER0013976	77.4
KBIJPNGH_01037	MER0168983	68.6
KBIJPNGH_01038	MER0073084	109.0
KBIJPNGH_01040	MER0000472	116.0
KBIJPNGH_01042	MER0002251	183.0
KBIJPNGH_01063	MER0056022	46.2
KBIJPNGH_01066	MER1143079	158.0
KBIJPNGH_01073	MER0015473	56.2
KBIJPNGH_01092	MER0492485	47.0
KBIJPNGH_01095	MER0005244	79.0
KBIJPNGH_01128	MER0000432	214.0
