Query	Hit	Score
LPIIEJOK_00030	MER0003380	130.0
LPIIEJOK_00040	MER0014135	245.0
LPIIEJOK_00060	MER0237414	61.2
LPIIEJOK_00061	MER0195774	130.0
LPIIEJOK_00097	MER0003417	152.0
LPIIEJOK_00247	MER0031614	72.4
LPIIEJOK_00263	MER0005244	122.0
LPIIEJOK_00289	MER0000472	58.9
LPIIEJOK_00311	MER0069741	110.0
LPIIEJOK_00325	MER0198917	328.0
LPIIEJOK_00383	MER0036617	40.4
LPIIEJOK_00399	MER0034726	61.6
LPIIEJOK_00407	MER0015095	59.7
LPIIEJOK_00422	MER0065588	165.0
LPIIEJOK_00427	MER0028025	153.0
LPIIEJOK_00452	MER0001161	439.0
LPIIEJOK_00472	MER0037236	75.1
LPIIEJOK_00505	MER0000410	346.0
LPIIEJOK_00551	MER0034539	101.0
LPIIEJOK_00554	MER0011781	47.4
LPIIEJOK_00568	MER0056525	258.0
LPIIEJOK_00580	MER0001243	192.0
LPIIEJOK_00602	MER0044357	68.6
LPIIEJOK_00629	MER0028025	162.0
LPIIEJOK_00646	MER0031618	48.5
LPIIEJOK_00653	MER0001029	210.0
LPIIEJOK_00666	MER0034539	263.0
LPIIEJOK_00676	MER0065588	161.0
LPIIEJOK_00703	MER0066192	148.0
LPIIEJOK_00720	MER0001295	162.0
LPIIEJOK_00747	MER0042827	114.0
LPIIEJOK_00767	MER0195376	107.0
LPIIEJOK_00806	MER0031570	66.6
LPIIEJOK_00866	MER0069741	62.0
LPIIEJOK_00906	MER0011781	50.4
LPIIEJOK_00990	MER0000268	164.0
LPIIEJOK_01020	MER0030934	66.6
LPIIEJOK_01057	MER0001297	121.0
LPIIEJOK_01075	MER0281397	77.8
LPIIEJOK_01151	MER0015459	49.3
LPIIEJOK_01152	MER0030047	50.4
LPIIEJOK_01155	MER0000589	59.7
LPIIEJOK_01199	MER0078640	219.0
LPIIEJOK_01248	MER0003380	75.9
LPIIEJOK_01257	MER0192051	62.8
LPIIEJOK_01266	MER0001009	62.8
LPIIEJOK_01267	MER0000332	98.6
LPIIEJOK_01270	MER0031610	152.0
LPIIEJOK_01337	MER0006204	113.0
LPIIEJOK_01375	MER0005089	53.5
LPIIEJOK_01444	MER0013471	54.7
LPIIEJOK_01461	MER0005767	52.8
LPIIEJOK_01499	MER0005767	140.0
LPIIEJOK_01507	MER0001244	194.0
LPIIEJOK_01511	MER0004469	63.9
LPIIEJOK_01557	MER0437468	222.0
LPIIEJOK_01559	MER0045886	182.0
